Primary Type,Beat
OTHER OFFENSE,712
OFFENSE INVOLVING CHILDREN,1031
BATTERY,633
MOTOR VEHICLE THEFT,925
BATTERY,725
MOTOR VEHICLE THEFT,1832
BURGLARY,1611
BATTERY,2515
BATTERY,2515
ARSON,411
CRIMINAL DAMAGE,735
BATTERY,1524
DECEPTIVE PRACTICE,132
ASSAULT,413
CRIMINAL DAMAGE,1123
BATTERY,1132
CRIMINAL DAMAGE,823
OTHER OFFENSE,131
OTHER OFFENSE,2212
ROBBERY,1434
BATTERY,111
CRIMINAL DAMAGE,1623
CRIMINAL DAMAGE,835
ASSAULT,1722
BATTERY,2423
THEFT,1113
MOTOR VEHICLE THEFT,114
ASSAULT,511
DECEPTIVE PRACTICE,813
THEFT,531
ROBBERY,1111
OTHER OFFENSE,313
MOTOR VEHICLE THEFT,1724
MOTOR VEHICLE THEFT,2232
OTHER OFFENSE,1032
ASSAULT,2423
THEFT,2412
CRIMINAL TRESPASS,132
CRIMINAL DAMAGE,423
ASSAULT,423
MOTOR VEHICLE THEFT,1654
BATTERY,1125
ARSON,423
THEFT,1412
DECEPTIVE PRACTICE,1613
MOTOR VEHICLE THEFT,1821
CRIMINAL DAMAGE,2212
BATTERY,1913
DECEPTIVE PRACTICE,1523
DECEPTIVE PRACTICE,2011
OTHER OFFENSE,1822
THEFT,1513
BATTERY,421
ASSAULT,723
BATTERY,1034
THEFT,1132
CRIMINAL TRESPASS,1633
DECEPTIVE PRACTICE,2424
THEFT,2513
BATTERY,414
CRIMINAL DAMAGE,611
CRIMINAL DAMAGE,224
THEFT,222
ROBBERY,312
OTHER OFFENSE,621
MOTOR VEHICLE THEFT,2232
KIDNAPPING,1623
OTHER OFFENSE,1724
THEFT,113
THEFT,2023
CRIMINAL TRESPASS,1022
ASSAULT,922
BURGLARY,2211
THEFT,421
CRIMINAL DAMAGE,511
DECEPTIVE PRACTICE,631
ASSAULT,1111
BATTERY,1651
THEFT,2431
WEAPONS VIOLATION,631
THEFT,1423
THEFT,735
THEFT,1832
OTHER OFFENSE,833
BATTERY,114
THEFT,1834
BURGLARY,423
MOTOR VEHICLE THEFT,2011
ASSAULT,624
THEFT,1434
DECEPTIVE PRACTICE,1511
THEFT,112
WEAPONS VIOLATION,2535
BATTERY,2512
WEAPONS VIOLATION,1422
THEFT,2432
ROBBERY,715
DECEPTIVE PRACTICE,811
BATTERY,2211
MOTOR VEHICLE THEFT,313
BATTERY,834
THEFT,2432
CRIMINAL DAMAGE,612
BATTERY,2521
DECEPTIVE PRACTICE,512
THEFT,124
BURGLARY,1834
MOTOR VEHICLE THEFT,1924
OTHER OFFENSE,1733
THEFT,1022
THEFT,1821
NARCOTICS,1522
THEFT,834
BATTERY,123
DECEPTIVE PRACTICE,2512
CRIMINAL DAMAGE,434
ASSAULT,334
OTHER OFFENSE,722
BATTERY,1723
ASSAULT,211
BURGLARY,423
BATTERY,2534
ASSAULT,1531
BATTERY,1112
BATTERY,821
THEFT,132
CRIMINAL SEXUAL ASSAULT,1522
ASSAULT,724
CRIMINAL DAMAGE,1834
MOTOR VEHICLE THEFT,522
THEFT,1413
MOTOR VEHICLE THEFT,211
ROBBERY,735
THEFT,331
ASSAULT,2011
MOTOR VEHICLE THEFT,1232
BATTERY,2523
BATTERY,1013
BATTERY,834
THEFT,1034
ASSAULT,524
ASSAULT,611
THEFT,1232
WEAPONS VIOLATION,312
THEFT,815
MOTOR VEHICLE THEFT,513
THEFT,1031
THEFT,2411
OTHER OFFENSE,1122
MOTOR VEHICLE THEFT,123
CRIMINAL SEXUAL ASSAULT,1522
ASSAULT,813
THEFT,1112
MOTOR VEHICLE THEFT,632
CRIMINAL DAMAGE,1723
THEFT,1834
THEFT,1433
THEFT,913
BATTERY,213
ROBBERY,733
BATTERY,632
BATTERY,632
DECEPTIVE PRACTICE,835
CRIMINAL DAMAGE,224
CRIMINAL DAMAGE,423
CRIMINAL DAMAGE,2514
CRIMINAL DAMAGE,224
CRIMINAL DAMAGE,1923
THEFT,1814
THEFT,124
MOTOR VEHICLE THEFT,1654
THEFT,1821
DECEPTIVE PRACTICE,2513
THEFT,215
MOTOR VEHICLE THEFT,825
THEFT,725
THEFT,1822
ASSAULT,921
DECEPTIVE PRACTICE,1834
DECEPTIVE PRACTICE,1631
DECEPTIVE PRACTICE,1821
OTHER OFFENSE,2031
OFFENSE INVOLVING CHILDREN,1511
BATTERY,2515
ASSAULT,1133
CRIMINAL DAMAGE,1233
THEFT,331
ASSAULT,313
THEFT,1112
CRIMINAL DAMAGE,611
CRIMINAL DAMAGE,2412
THEFT,1923
BATTERY,421
MOTOR VEHICLE THEFT,2232
BATTERY,1732
THEFT,1211
THEFT,2024
THEFT,1834
THEFT,112
DECEPTIVE PRACTICE,1224
ROBBERY,612
MOTOR VEHICLE THEFT,1413
CRIMINAL DAMAGE,813
BATTERY,113
CRIMINAL DAMAGE,322
WEAPONS VIOLATION,322
ASSAULT,935
DECEPTIVE PRACTICE,2521
WEAPONS VIOLATION,1012
THEFT,234
THEFT,924
MOTOR VEHICLE THEFT,414
OTHER OFFENSE,1925
CRIMINAL DAMAGE,1834
BATTERY,2515
MOTOR VEHICLE THEFT,131
CRIMINAL DAMAGE,323
THEFT,1511
WEAPONS VIOLATION,934
ROBBERY,931
ASSAULT,1814
BURGLARY,1923
THEFT,1834
BATTERY,133
ASSAULT,611
BATTERY,321
BATTERY,123
BATTERY,423
THEFT,123
MOTOR VEHICLE THEFT,132
CRIMINAL DAMAGE,332
ROBBERY,2413
CRIMINAL DAMAGE,1925
THEFT,1821
THEFT,1821
CRIMINAL SEXUAL ASSAULT,523
THEFT,1424
BATTERY,2011
CRIMINAL DAMAGE,1925
ROBBERY,1214
THEFT,1214
DECEPTIVE PRACTICE,2223
THEFT,1925
MOTOR VEHICLE THEFT,131
OTHER OFFENSE,832
CRIMINAL DAMAGE,1925
THEFT,422
THEFT,1834
THEFT,1821
MOTOR VEHICLE THEFT,213
CRIMINAL SEXUAL ASSAULT,2211
CRIMINAL DAMAGE,632
CRIMINAL TRESPASS,214
THEFT,1934
